Company,Chief Executive Officer,Chief Financial Officer,Chief Operating Officer,President,Director of Acquisitions,Head of Corporate Development,Director of Asset Management,Head of Investor Relations,Chairman of the Board,VP/Head of Exploration,Chief Geologist
Antoro Resources Inc.,Michel L. Cote,Keith Shrouder,,Yvan Dubuc,,,,,,,
Anvil Mining Limited,,,Greg Morris,,,Neil Caldwell,,,,,
Anvil Range Mining Corp.,,,,,,,,,,,
"Anyuan Coal Industry Group Co., Ltd.",,? ??,,,,,,,? ??,,
AO Energy Limited,,,,,,,,,,,
AO Holding Company METALLOINVEST,Andrey Vladimirovich Varichev,Alexey Voronov,Andrey Ugarov,,,,,,Vladimir Yakovlevich Streshinsky,,
APAC Coal Limited,,,,,,,,,,,
APAC Resources Limited,Andrew Charles Ferguson,Kit Ling Tam,,,,,,,Arthur George Dew,,
Apex Minerals NL,,,,,,,,,,,
"Apex Mining Co., Inc.",Walter William Brown,,,Walter William Brown,,,,,Ramon Y. Sy,Graciano P. Yumul Jr.,Graciano P. Yumul Jr.
Apex Resources Inc.,Arthur G. Troup,Marc H.K. Lee,,Arthur G. Troup,,,,,,Arthur G. Troup,Arthur G. Troup
Aphrodite Gold Limited,Peter Anthony Buttigieg,,,,,,,,Peter Anthony Buttigieg,Eduard Eshuys,Eduard Eshuys
ApivaCom Web Corp.,Nagy Guerges Shehata Guerges,Nagy Guerges Shehata Guerges,,Nagy Guerges Shehata Guerges,,,,,,,
Apogee Opportunities Inc.,Fred Leigh,Paul Bozoki,,,,,,,G. Scott Paterson,,
Apollo Consolidated Limited,David Nicholas Castleden,,,,,,,,Roger Christian Steinepreis,,
Apollo Gold Corp.,,,,,,,,,,,
Apollo Minerals Limited,,Clinton McGhie,,,,,,,Ian Peter Middlemas,,
Appia Energy Corp.,Anastasios Drivas,Frank van de Water,Frank van de Water,Anastasios Drivas,,,,,,James Sykes,
Apple Capital Inc.,,,,,,,,,,,
Applied Mine Technologies Inc.,,,,,,,,,,,
Applied Minerals Inc.,Andre M. Zeitoun,Christopher T. Carney,,Andre M. Zeitoun,,,,,Mario Concha,,
AQM Copper Inc.,Bruce L. Turner,Erick J. Underwood,,Bruce L. Turner,,,,Ann Gibbs,Alan R. Edwards,,
Aquarius Platinum Limited,Jean Nel,Willi M.P. Boehm,Robert Neville Schroder,,,,,,Nigel Rudd,,
Aquest Energy Ltd.,,,,,,,,,,,
Aquila Resources Inc.,Barry Hildred,Stephanie Malec,,,,,,,Edward J. Munden,Thomas O. Quigley,
Aquila Resources Limited,"Qinghua Zhou, Tony Poli",Martin N. Alciaturi,,,,,,,Qingyu Li,Brent E. Green,
Aquiline Resources Inc.,,,,,,,,,,,
Arafura Resources Limited,Gavin J. Lockyer,Peter Sherrington,,,,,,,Ian John Kowalick,Richard Brescianini,
Aragon Resources Pty Ltd,,,,,,,,,Peter Gerard Cook,,
Aranka Gold Inc.,,,,,,,,,,,
Arc Exploration Limited,,,,,,,,,Simon Thomas O’Loughlin,,
ArcelorMittal,Lakshmi N. Mittal,Aditya Mittal,,,,,,,Lakshmi N. Mittal,,
ArcelorMittal South Africa Limited,Willem Abraham de Klerk,Dean Subramanian,,,,,,,Paul Mpho Makwana,,
Archangel Diamond Corp.,,,,,,,,,,,
Archer Exploration Limited,,Damien S. Connor,,,,,,,Gregory David English,Wade Bollenhagen,Wade Bollenhagen
Archer Resources Limited,,,,,,,,,,,
Archipelago Resources Plc,Colin Paul Sutherland,Colin Paul Sutherland,Charles Knight,,,,,,Stephen K. Sulistyo,,
Archon Minerals Limited,Stewart L. Blusson,Ronald Ross Blusson,,Stewart L. Blusson,,,,,,,
Arco Resources Corporation,George Danes,Teresa Rzepczyk,,,,,,,,,Paul S. Cowley
Arcon International Resources plc (Lundin),W. Peter Kidney,W. Peter Kidney,,,,,,,Anthony O’Reilly Jr.,,
ArcPacific Resources Corp.,Ruben S. Verzosa,Nizar Y. Bharmal,,Ruben S. Verzosa,,,,,,,
Arctic Star Exploration Corporation,Patrick Power,Brijender Jassal,,Patrick Power,,,,,,Buddy James Doyle,Buddy James Doyle
Arcturus Ventures Inc.,Blake S. Macdonald,Brandon Macdonald,,,,Brandon Macdonald,,,,,
Arcus Development Group Inc.,Ian J. Talbot,James Gray,,Ian J. Talbot,,,,,,,
Ardea Resources Limited,Matthew Painter,Robert Samuel Middlemas,,,,,,,Katina Maria Ethel Law,,
Ardent Resources Limited,,,,,,,,,Scott Brown,Mark D. J. Derriman,Mark D. J. Derriman
Ardiden Limited,Bradley Phillip Boyle,,,,,,,,Neil John Hackett,,
Ardonblue Ventures Inc.,Clive Brookes,Bruno Fruscalzo,,Clive Brookes,,,,,Clive Brookes,,
Arehada Mining Limited,Fan Wang,Graham C. Warren,,Fan Wang,,,,,Fan Wang,,
Arena Minerals Inc.,William Randall,,,William Randall,,,,,Mark P. Eaton,Vernon Arsenault,
Arenagold Resources Inc.,,,,,,,,,,,
AREVA S.A.,Philippe Knoche,Stéphane Lhopiteau,,,,,,,Philippe Varin,,
Argent Minerals Limited,David Peter Busch,,,,,,,,Stephen Geoffrey Gemell,Clifton Todd McGilvray,
Argentex Mining Corporation,Michael J. Brown,Jeffrey Finkelstein,,Michael J. Brown,,,,,,,
Argentina Gold Corp.,,,,,,,,,,,
Argentina Lithium & Energy Corp.,Nikolaos Cacos,Darren C. Urquhart,,Nikolaos Cacos,,,,,,,
Argentum Silver Corporation,Gary Nassif,James Fairbairn,,Gary Nassif,,,,,,,
Argex Titanium Inc.,Mazen Alnaimi,Rudy Laurent,Carroll Moore,,,,,,Mazen Alnaimi,,
Argo Exploration Limited,,"Justin Mouchacca, Melanie Jaye Leydin",,,,,,,,,
Argo Gold Inc.,Judith Baker,Alex Falconer,,Judith Baker,,,,,,,
Argonaut Exploration Inc.,Raymond A. Cook,Raymond A. Cook,,Raymond A. Cook,,,,,,,
Argonaut Gold Inc.,Peter C. Dougherty,David A. Ponczoch,William M. Zisch,Peter C. Dougherty,,,,,James E. Kofman,,
Argonaut Resources N.L.,Lindsay J. Owler,Andrew William Bursill,,,,,,,Patrick James Dymock Elliott,Lindsay J. Owler,
Argosy Minerals Limited,Jerko Zuvela,,,,,,,,Alexander Alan Molyneux,Jerko Zuvela,Jerko Zuvela
Argus Metals Corp.,J. Michael William Collins,Simon J. Anderson,,J. Michael William Collins,,,,,Alan C. Savage,,
Arian Resources Corp.,Harold Shipes,Aylin Cecen Aksu,,,,,,,Harold Shipes,,
Arian Silver Corporation,James Thomas Williams,,,James Thomas Williams,,,,,Anthony Joseph Williams,James Thomas Williams,James Thomas Williams
Ariana Resources Plc,Ahmet Kerim Sener,William James Benedict Payne,,,,,,,Michael J. de Villiers,Zack van Coller,
Ariane Gold Corp,,,,,,,,,,,
Arianne Phosphate Inc.,Brian Ostroff,James Cowley,Jean-Sébastien David,,,,,,Jean Lamarre,Daniel Boulianne,
Aricom Limited,,,,,,,,,,,
Arizona Gold Corp.,,,,,,,,,William Hay,,
Arizona Mining Inc.,James K. Gowans,Paul J. Ireland,Donald R. Taylor,James K. Gowans,,Jerrold Annett,,,Richard W. Warke,,
Arizona Star Resource Corp.,,,,,,,,,,,
Ark Fund Ltd.,John Damian Kenny,,,,,,,,John Damian Kenny,,
Ark Mines Limited,Roger Alan Jackson,,,,,,,,Antony B. Corel,Roger Alan Jackson,Roger Alan Jackson
Arkhangelsk Geoldobycha (Lukoil),,,,,,,,,,,
Arlan Group,Nesterova Elena,Sergey Kriazhevskikh,Victor Vasiljevich Komogorov,,,,,,,,
Arlan River LLC,,,,,,,,,,,
Armada Gold Corp.,,,,,,,,,,,
Armadale Capital Plc,,,,,,,,,,,
Armadillo Resources Ltd.,Leslie Kjosness,Cherry Cai,,Leslie Kjosness,,,,,,,
Armenian Copper Programme CJSC,,,,,,,,,,,
Armor Minerals Inc.,Matthew Gerard Watson,Linda Chang,,Matthew Gerard Watson,,,,,,,
Armor Minerals Inc.,,,,,,,,,,,
ARMZ Uranium Holding Company,Vladimir Nikolaevitch Verkhovtsev,,Victor S. Svyatetskiy,,,,,,Aleksandr Markovitch Lokshin,,
Arnevut Resources Inc.,,,,,,,,,,,
Aroway Energy Inc.,Christopher R. Cooper,,,Christopher R. Cooper,,,,,,,
ArPetrol Ltd.,Jason James,,,,,,,,Claudio A. Ghersinich,,
Arrium Limited,,Anthony Brooks,,,,,,,,,
Arrowhead Gold Corp.,Paul Ghezzi,Claudio Del Vasto,Kristian Lavereau,Stephen Smith,,,,,,,
Arrowhead Resources Limited,Michael Benjamin Rosenstreich,Rowan St. John Caren,,,,,,,Michael Benjamin Rosenstreich,,Michael Benjamin Rosenstreich
Arrowstar Resources Limited,Phillip Thomas,Blaine Y. Bailey,,Phillip Thomas,,,,,Phillip Thomas,,Phillip Thomas
Artemis Resources Limited,,Guy Robertson,,,,,,,David Anthony Lenigas,,
Aruma Resources Limited,Peter Bernard Schwann,,,,,,,,Paul Boyatzis,Kathryn Cutler,
Arunta Resources Limited,Angus Michael Edgar,,,,,,,,Francis Galbally,,
Aruntani S.A.C.,Guido del Castillo,,,Guido del Castillo,,,,,,,
Asa Resource Group Plc,Toi Muganyi,Carla Mackay,Toi Muganyi,,,,,,David Edgar Hoover Murangari,Colin Porter,
Asanko Gold Inc.,Peter Breese,Fausto Di Trapani,,Peter Breese,,,,,Colin Henri Steyn,,
Asante Gold Corporation,Douglas R. MacQuarrie,Philip Gibbs,,Douglas R. MacQuarrie,,,,,Ned E. Goodman,,
Asaplus Resources Limited,Eng Foo Lau,,Yit Huoi Lau,,,,,,Mohamed Hussein Bin Mohamed Shariff,Wei Choo LOY,Wei Choo LOY
Asarco Incorporated,,,,,,,,,,,
Ascendant Resources Inc.,Chris Buncic,Rohan Hazelton,Neil T. Ringdahl,Chris Buncic,,,,,Mark Brennan,,
Ascendant Resources Inc.,,,,,,,,,,,
Ascot Mining Plc,David Brian Jackson,Jeffrey M. Benavides Chaverri,,,,,,,David Brian Jackson,,
Ascot Resources Limited,Andrew James Caruso,,,,,,,,Paul Kopejtka,Franciscus Sibbel,Franciscus Sibbel
Ascot Resources Ltd.,John A. Toffan,Robert A. Evans,,John A. Toffan,,,,,,,
Asem Tas-N LLC,,,,,,,,,,,
ASF Group Limited,Min Yang,Chi Yuen Kuan,,,,,,,Min Yang,,
Ashanti Goldfields Co Ltd,,,,,,,,,,,
Ashanti Sankofa Inc.,Robert Huon Spiers,William C. Pettigrew,Trevor Grahame Pickett,Robert Huon Spiers,,,,,,,
Ashburton Ventures Incorporated,Michael B. England,John Masters,Timothy Harvey,David C. Gdanski,,,,,,,
Asher Resources Corporation,Tony Di Benedetto,Robert D. B. Suttie,,Richard Buzbuzian,,,,,,,Paul R. Mattinen
Ashmont Resources Corp,Mario Escobar,Casey Forward,Fabián Gallego,,,,,,Craig Watson,,
Ashton Mining Ltd. (Rio Tinto Plc),,,,,,,,,,,
Ashton Mining of Canada Inc.,,,,,,,,,,,
Asia Coal Limited,David Lee Sun,Siu Fai Cheung,,Xinjiang Zhu,,,,,Xinjiang Zhu,,
Asia Now Resources Corporation,Marshall Wallace Cooper,,,Marshall Wallace Cooper,,,,,Marshall Wallace Cooper,,
AsiaBaseMetals Inc.,Raj I. Chowdhry,Kara Norman,,Raj I. Chowdhry,,,,,Raj I. Chowdhry,,
Asiamet Resources Limited,Peter John Bird,Doris Meyer,,,,Gerald Cheyne,,,Antony Manini,Stephen Hughes,
Asian Dragon Group Inc.,,,,,,,,,,,
Asian Mineral Resources Limited,Duncan T. Blount,Paula Kember,,,,,,,Robin Widdup,Dinh Huu Minh,
Aspire Mining Limited,David Paull,Philip Rundell,,,,,,,David Leslie McSweeney,,Barsbold Tserenpuntsag
Assore Limited,Charles Edwards Walters,,Bastiaan Hendrikus van Aswegen,,,,,,Desmond Sacco,,
Astar Minerals Ltd.,Stephen Stanley,Abdul R. Allibhai,,Stephen Stanley,,,,,,,
Aston Bay Holdings Ltd.,Thomas Ullrich,Dwight Walker,Thomas Ullrich,,,Megan Anne Sweeney,,,Benjamin J. Cox,David Broughton,David Broughton
Astorius Resources Ltd.,Arthur Brown,Kulwant Sandher,,Arthur Brown,,,,,Sandy J. MacDougall,,
Astral Mining Corporation,Eric Mungai,Harvey Lim,,,,,,,,,
Astro Resources NL,Michael Povey,,,Michael Povey,,,,,Jacob Leo Khouri,Michael Povey,Michael Povey
Astron Corporation Limited,Alexander Gavin Brown,Matthew Suttling,Kang Rong,Alexander Gavin Brown,,,,,Gerard Arthur King,,Boris Matveev
ATAC Resources Ltd.,Graham N. Downs,Larry B. Donaldson,Ian J. Talbot,Graham N. Downs,,,,,Douglas O. Goss,Julia Lane,
Atacama Metals Group Ltd.,,,,,,,,,,,
Atacama Pacific Gold Corporation,Carl B. Hansen,Thomas J. Pladsen,,Carl B. Hansen,,,,,Albrecht Schneider,,
Atalaya Mining plc,Alberto Arsenio Lavandeira Adán,César Sánchez,Julian Sánchez,,,,,,Roger Owen Davey,,
ATC Alloys Limited,Patrick Nicolas Burke,,,,,,,,Patrick Nicolas Burke,,
Ateba Resources Inc.,Ashley Makuch,Ashley Makuch,,,,,,,,,
ATH Resources Plc,Alistair Black,,,,,Peter Morgan,,,,,
Athabasca Minerals Inc.,Robert J. Beekhuizen,Deborah Rodrigo,William Woods,,,Mark McCallum,,,Don Paulencu,,
Athabasca Potash Inc,,,Terry Wallbaum,,,,,Kevan Bender,Dawn Zhou,,
Athena Resources Limited,Jian Li,,,,,,,,David Arthur Webster,Liam Kelly,Liam Kelly
Athena Silver Corp.,John C. Power,John C. Power,,John C. Power,,,,,,,
Atherton Resources Limited,,Ben-Louis Ludik,,,,,,,,Andrew Beaton,Christopher Newman
Atico Mining Corporation,Fernando Elias Ganoza,William Tsang,,Jorge Ricardo Ganoza Aicardi,,,,,Luis Dario Ganoza Durant,Joseph A. Salas,
Atico Mining Corporation,,,,,,,,,,,
Atikwa Resources Inc.,,,,,,,,,,,
Atlanta Gold Inc.,R. David Russell,Peili Miao,,R. David Russell,,,,,Allan J. Folk,,
Atlantic Carbon Group Plc,Stephen Best,,,,,,,,Adam R. Wilson,,
Atlantic Gold Corporation,Steven G. Dean,Chris Batalha,Maryse Belanger,Steven G. Dean,,,,,Steven G. Dean,Walter Ralph Bucknell,
Atlantic Gold Pty. Limited,Walter Ralph Bucknell,,,,,,,,Ronald Joseph Hawkes,,John Utley
Atlas Consolidated Mining and Development Corporation,,Fernando A. Rimando,Adrian Paulino S. Ramos,Adrian Paulino S. Ramos,,,,,Alfredo C. Ramos,,
Atlas Iron Limited,Mark Clifford Lawrenson,Mark David Hancock,Jeremy Sinclair,,,,,,Eugene Irwin Davis,,
Atlatsa Resources Corporation,Asna Chris Motaung,Reinhardt van Wyk,,Asna Chris Motaung,,,,,Tumelo M. Motsisi,,
Atna Resources Limited,James K. B. Hesketh,Rodney D. Gloss,,James K. B. Hesketh,,,,Valerie K. Kimball,David H. Watkins,William R. Stanley,
Atom Energy Inc.,John Veltheer,Donald Barry Lee,,John Veltheer,,,,,,,
Aton Resources Inc.,Mark W. Campbell,Justin J. Blanchet,,Mark W. Campbell,,Giles Edward Baynham,,,William Koutsouras,Javier Orduña,Roderick Cavaney
Atrum Coal Limited,,Jayram Hosanee,Ben Smith,,,Peter Doyle,,,,,
Attila Resources Limited,Patrick Walta,Evan Alexander George Cranston,,Evan Alexander George Cranston,,,,,,,
Auctus Chillagoe Pty Ltd,,,,,,,,,,,
Audalia Resources Limited,Brent Butler,,,,,,,,,,
AuEx Ventures Inc,,,Timothy M. Janke,,,,,,,,
Augustine Ventures Inc.,,Khurram R. Qureshi,,,,,,,G. Michael Newman,,Ed Walker
Augyva Mining Resources Inc.,Kuldeep Billan,Shannon C. Penney,,,,,,,Farhad Abasov,,
Auiron Energy Ltd.,,,,,,,,,,,
AuKing Mining Limited,Paul Williams,Jonathan Paul Kershaw Marshall,,,,,,,Huaisheng Peng,David A-Izzeddin,
Aur Resources Inc.,,,,,,,,,,,
Aura Energy Limited,Peter Desmond Reeve,John M. Madden,,,,,,,Peter Desmond Reeve,Neil Clifford,
Aura Minerals Inc.,Rodrigo Barbosa,Rodrigo Barbosa,,Rodrigo Barbosa,,,,,Paulo Carlos de Brito,,
Aura Silver Resources Inc.,Robert G. Boaz,John McNeice,,Robert G. Boaz,,,,,Nicholas Tintor,Paul W. Pitman,
Aurado Energy Ltd.,Marco Mahler,Beat Aus Der Au,,Marco Mahler,,,,,Oliver Stahel,,
Auramex Resource Corp.,Frederick Wayne Crocker,Judith Ann Whitby,,Frederick Wayne Crocker,,,,,,,
Aurania Resources Ltd.,Keith Michael Barron,Donna R. McLean,,Richard Spencer,,,,,Keith Michael Barron,Jean Paul Pallier,
Aurcana Corporation,Kevin C. Drover,Salvador Huerta,,Kevin C. Drover,,,,,,,
AurCrest Gold Inc.,Christopher Clayton James Angeconeb,J. Errol Farr,,Christopher Clayton James Angeconeb,,,,,,Trevor Boyd,
Aurea Mining Inc,,,,,,,,,,,
Aurelia Metals Limited,James Simpson,Timothy Churcher,,,,,,,Colin Thomas Johnstone,Stuart Jeffrey,Stuart Jeffrey
Aurelian Resources Inc.,,,,,,,,,,,
Aurelio Resource Corp.,,,,,,,,,,,
Aurelius Minerals Inc.,Mark N.J. Ashcroft,Susan Neale,,Mark N.J. Ashcroft,,,,,Randy Christopher Turner,,
Auriant Mining AB,Sergey Ustimenko,Alexander Buchnev,,,,,,,Peter Gilbert Daresbury,,Vladimir Churin
AuRico Gold Inc.,Scott G. Perry,Robert J. Chausse,Peter K. MacPhail,Scott G. Perry,,,,,Alan R. Edwards,Christopher J. Rockingham,
AuRico Metals Inc.,Christopher H. Richter,David Flahr,John Fitzgerald,Christopher H. Richter,,John Miniotis,,,Richard Mark Colterjohn,Grant Ewing,
Auriginor Exploration Inc.,,,,,,,,,,,
Aurion Resources Limited,Michael Basha,David R. Loveys,,Michael Basha,,,,,David Lotan,,
AurionGold Limited,,,,,,,,,,,
Auris Minerals Limited,,Debra Ann Fullarton,,,,,,,Bronwyn Lesley Barnes,Richard Pugh,
Aurium Resources Limited,,,,,,,,,,,
Auroch Minerals Limited,Andrew James Tunks,,,,,,,,Glenn Ross Whiddon,Andrew James Tunks,"Andrew James Tunks, Peter Sheehan"
Aurogin Resources Ltd,Milton Baehr,,,James Mark Plaxton,,,,,James Mark Plaxton,,
Auropean Ventures Inc.,Vernon Rampton,John McNeice,,Vernon Rampton,,,,,,,
Aurora Cannabis Inc.,Terry Booth,Glen Ibbott,Allan Cleiren,Stephen Dobler,,Kenneth David Faulkner,,,Michael Singer,,
AURORA ENERGY RESOURCES INC (Fronteer),,,,,,,,,,,
Aurora Gold Corporation,Lars M. Pearl,,Vladimir Bernshtein,Lars M. Pearl,,,,,Agustin Gomez de Segura,Andrey Rastko,Lars M. Pearl
Aurora Gold Limited,,,,,,,,,,,
Aurora Minerals Limited,Martin James Pyle,,,,,Martin James Pyle,,,Phillip Sidney Redmond Jackson,Martin James Pyle,Martin James Pyle
Aurora Platinum Corp (Quadra FNX),,Parkash K. Athwal,,,,,,,,,
Aurox Resources Pty Ltd,,,,,,,,,,,
Aurubis AG,Jürgen Schachler,,,,,,,,Heinz Jörg Fuhrmann,,
"Aurum, Inc.",Joseph Isaac Gutnick,Simon Joseph Lee,,Joseph Isaac Gutnick,,,,,Joseph Isaac Gutnick,,
Aurvista Gold Corporation,B. Matthew Hornor,Bryan Keeler,Keith C. Minty,B. Matthew Hornor,,David Meyer,,,Gerald P. McCarvill,Jean Lafleur,
Auryn Resources Inc.,Shawn Wallace,Peter Rees,Michael Henrichsen,Shawn Wallace,,,,,Ivan James Bebek,David Smithson,Michael Henrichsen
Auryx Gold Namibia (Proprietary) Limited,,,,,,,,,,,
Aus Asia Minerals Limited,,,,,,,,,Mark Baker,,
Aus Tin Mining Limited,Peter Williams,Priyanka Sampath Jayasuriya,,,,,,,Brian Moller,Neil Wilkins,Neil Wilkins
Ausgold Limited,Matthew Greentree,Elsie Lee,,Denis Ivan Rakich,,,,,Richard Lockwood,,Melanie Sutterby
Ausmex Mining Group Limited,Matthew Morgan,Matthew Suttling,,,,,,,David Colin Wheeler,,
Ausminerals Ltd.,Erwin Brian Bouverie,,,,,,,,Christopher Tony Valttila,,
Ausmon Resources Limited,John Qiang Wang,John Qiang Wang,,,,,,,Boris Patkin,,
AusQuest Limited,Graeme Drew,,,,,,,,Gregory George Hancock,Graeme Drew,Graeme Drew
AusRoc Metals Limited,,,Richard Holmes,,,,,,Peter Neil Landau,,
Aussie Online Ltd.,,,,,,,,,,,
Austin Resources Ltd.,Zhigang Xie,Jing Peng,,Zhigang Xie,,,,,Zhi Lyu,Michael R. Schuler,
Austpac Resources N.L.,Michael J. Turbott,Nicholas J. Gaston,,,,,,,Terry Cuthbertson,Michael J. Smith,
Austral Gold Limited,,,,,,,,,,,
Austral Gold Limited,Stabro Kasaneva,José Bordogna,,Stabro Kasaneva,,,,,Eduardo Sergio Elsztain,Diego Guido,
Australasian Resources Limited,Grant Ryan,Grant Ryan,,,,,,,Domenic Vincent Martino,Grant Ryan,
Australia Gold Corp,,,,,,,,,,,
Australia New Agribusiness & Chemical Group Limited,"Yinan Zhang, Zhang Yinan",Fu Baohua,,,,,,,Jun Xiao,,
Australia United Mining Limited,,Xiaoying Du,,,,,,,Xiao Jing Wang,,
Australian Bauxite Limited,Ian Levy,Francis Choy,Leon Hawker,,,,,,Paul Anthony Lennon,Paul Glover,Rado Jacob Rebek
Australian Cancer Technology Ltd,,,,,,,,,,,
Australian Gold Fields NL,,,,,,,,,,,
Australian Mines Limited,Benjamin John Bell,Benjamin John Bell,,,,,,,Michael Ramsden,,
Australian Motor Finance Group Ltd,,,,,,,,,,,
Australian Pacific Coal Limited,John James Robinson Jr.,Kevin John Mischewski,,,,,,,Peter Alexander Ziegler,,
Australian Potash Limited,,,,,,,,,Matthew Shackleton,,
Australian Resources Ltd,,,,,,,,,,,
Australian Solomons Gold Limited,,,,,,,,,,,
Australian Vanadium Limited,,,,,,,,,Brenton James Lewis,,
Australian Zircon NL,,,,,,Emma Vogel,,,Jeremy David Shervington,,
AustSino Resources Group Limited,,,,,,,,,Edward Saunders,,
Auzex Exploration Limited,,,,,,,,,,,
Avala Resources Ltd.,David A. Fennell,Alain Krushnisky,,David A. Fennell,,,,,David A. Fennell,Justin van der Toorn,
Avalon Advanced Materials Inc.,Donald S. Bubar,R. James Andersen,Donald S. Bubar,Donald S. Bubar,,,,,Brian D. MacEachen,William Mercer,
Avalon Minerals Limited,Malcolm Norris,Gavin Leicht,,,,,,,Graham Leslie Ascough,,Bruce Rohrlach
Avanco Resources Limited,Anthony Terence Polglase,Scott Funston,Wayne Phillips,,,,,,Colin Ian Jones,Jailson Araujo,
Avanco Resources Limited - Historical,,,,,,,,,,,
Avannaa Resources Ltd,,,,,,,,,,,
Avarone Metals Inc.,Marc E. Levy,Anita Young Algie,,Marc E. Levy,,,,,,,
Avatar Petroleum Inc.,,,,,,,,,,,
Avenira Limited,Louis Antoine Calvarin,Rodney Wheatley,,,,,,,Christopher Richard Pointon,,Russell Fulton
Aventine Resources Plc,,,,,,,,,James McCartan,,
Avesoro Resources Inc.,Serhan Umurhan,Geoffrey Peter Eyre,,,,,,,Mehmet Nazif G?nal,Gokhan Kellecioglu,
Avgold Limited,,,,,,,,,,,
Avigo Resources Corp.,,,,,,,,,,,
Avino Silver & Gold Mines Ltd.,David Wolfin,Malcolm Davidson,Jose Carlos Rodriguez Moreno,David Wolfin,,,,,Gary Robertson,,
Avino Silver & Gold Mines Ltd.,,,,,,,,,,,
Avion Gold Corporation,John A. Begeman,,Andrew Bradfield,John A. Begeman,,,,,James Hayward Coleman,,
Avira Energy Limited,Gary Kuo,Jacqueline Butler,Christopher Chen,,,,,,,,Verity Borthwick
Avnel Gold Mining Limited,Howard B. Miller,Alan McFarlane,,Roy Meade,,Ian McDonald,,,Howard B. Miller,,Olivier Féménias
Avoca Resources Pty Ltd,,,,,,,,,,,
Avocet Mining Plc,Boudewijn Wentink,Yolanda Bolleurs,,,,,,,Russell Philip Edey,,
Avrupa Minerals Limited,Paul W. Kuhn,Winnie Wong,,Paul W. Kuhn,,,,,Mark T. Brown,,
AVZ Minerals Limited,,,,,,,,,Klaus Peter Eckhof,,
Axe Exploration Inc.,David Mc Donald,Johanne Moreau,,David Mc Donald,,,,,,,
Axiom Mining Limited,Ryan Richard Mount,David Kinsman,Ken Stein,,,,,,Robert Lawrence Barraket,Juan Jeffrey,
AXMIN Inc.,Lucy Yan,Jin Kuang,,,,,,,Lucy Yan,,
Aydeniz Group,,,,,,,,,,,
Azarga Metals Corp.,Dorian L. Nicol,Dan O'Brien,,Dorian L. Nicol,,,,,Alexander Alan Molyneux,,Dorian L. Nicol
Azarga Uranium Corp.,Richard F. Clement Jr.,Blake Steele,John M. Mays,Blake Steele,,,,,Richard F. Clement Jr.,,
Azerbaijan International Mineral Resources Operating Co. Ltd.,,,,,,,,,,,
Aziana Limited,Neil Robert Rinaldi,Scott M. Balloch,,,,,,,Eric Bolto,,
Azimut Exploration Inc.,Jean-Marc Lulin,Moniroth Lim,,Jean-Marc Lulin,,,,,,,
Azimuth Resources Limited,Russell St John Clark,Kar Yong,,,,,,,,,Aaron Green
Azincourt Uranium Inc.,Paul S. Reynolds,Wei Li Chuang,,,,,,,John Stalker,,
Aztec Metals Corporation,,,,,,,,,,,
Aztec Minerals Corp.,Joseph Wilkins,Philip Yee,,Joseph Wilkins,,,,,Bradford J. Cooke,,
Azteca Gold Corp.,,,,,,,,,,,
Azumah Resources Limited,Stephen Stone,,,,,Timothy Ernest Spurg Lagdon,,,Michael William Atkins,Stephen Stone,Stephen Stone
Azure Minerals Limited,Anthony Paul Rovira,Brett Douglas Dickson,,,,,,,Peter Anthony John Ingram,Brent Hendrickson,
B&A Mineração S.A.,,,,,,,,,,,
B2bNet Technology Nl,,,,,,,,,,,
B2Gold Corporation,Clive T. Johnson,Michael Cinnamond,William Lytle,Clive T. Johnson,,,,,Robert M. D. Cross,Thomas Garagan,Brian Scott
Bacanora Minerals Limited,Peter A. Secker,Derek Batorowski,,Martin Fernando Vidal Torres,,,,,Mark Ainsworth Hohnen,,Daniel Calles
Baffinland Iron Mines Corporation,,Stephanie E. Anderson,Sylvain Proulx,,,,,,,,
Baikal Mining Company LLC,Omonullo Nasritdinkhodjaev,,,,,,,,Valery Kazikayev,,
Bakbone Software Inc.,Douglas Garn,,Ken Hudak,Douglas Garn,,,,,Vincent C. Smith,,
Balamara Resources Limited,Michael Ralston,Daniel Kendall,,,,,,,Derek Lenartowicz,,
Ballarat Goldfields NL,,,,,,,,,,,
Balmoral Resources Ltd.,Darin W. Wagner,Peggy Wu,,Darin W. Wagner,,John P. Foulkes,,,,Richard Mann,Richard Mann
Bamangwato Concessions Ltd.,,,,,,,,,Akolang R. Tombale,,
Bambuk Minerals Ltd (Toro Gold Ltd),,,,,,,,,,,
Bambuu Ltd.,,,,,,,,,,,
Bandanna Energy Limited,Michael John Gray,Matthew Edwin Scott,,,,Stuart Clarke,,,,,
Bandera Gold Ltd.,Peter Gommerud,Don Bossert,,Peter Gommerud,,,,,,,
Bankers Petroleum Ltd.,,,Suneel Krishan Gupta,,,,,,,,
Banks Island Gold Limited,Benjamin W. Mossman,Benjamin W. Mossman,,Benjamin W. Mossman,,,,,,,
